Country,Quality of Life Index,Infant Mortality Rate,Continent,Cost of Bread,Cost of Apartment,Minimum Wage,Population,,,,,
Albania,7.924823118,7.8,Europe,1.41,2275.1592,1.12,2775634,,,,103.5,7.924823118
Algeria,7.242742985,5.5,Africa,0.21,1301.515045,0.95,44903225,,,,99,7.242742985
Argentina,10.19604602,8.8,South America,2.42,2097.267832,3.35,46234830,,,,116.1,10.19604602
Armenia,7.538324934,11,Asia,1.19,3486.604034,0.66,2780469,,,,101,7.538324934
Australia,40.85380653,3.1,Oceania,3.74,7174.876557,13.59,25978935,,,,185.5,40.85380653
Austria,45.42215584,2.9,Europe,4.09,7084.403676,10.2,9042528,,,,190.8,45.42215584
Azerbaijan,9.487735836,19.2,Asia,0.65,1781.68326,0.47,10175016,,,,112.5,9.487735836
Bangladesh,4.271649276,25.1,Asia,0.88,740.3710481,0.51,169356251,,,,72.6,4.271649276
Belarus,12.18249396,2.6,Europe,0.82,1595.964397,1.49,9208701,,,,125,12.18249396
Belgium,26.31133934,2.9,Europe,3.32,3975.208659,10.31,11669446,,,,163.5,26.31133934
Bolivia,6.820958469,7,South America,1.79,1118.988072,1.36,12224110,,,,96,6.820958469
Bosnia and Herzegovina,13.57187993,5,Europe,1.5,2139.891833,1.04,3233526,,,,130.4,13.57187993
Brazil,9.679400814,12.8,South America,2.19,1565.577609,1.53,215313498,,,,113.5,9.679400814
Bulgaria,16.31361443,5.9,Europe,1.46,2272.055701,1.57,6465097,,,,139.6,16.31361443
Canada,25.17874031,4.3,North America,3.95,6923.89583,9.51,38929902,,,,161.3,25.17874031
Chile,7.89318714,6.2,South America,2.32,2213.786531,2,19603733,,,,103.3,7.89318714
China,10.25740619,7.4,Asia,2.45,7177.714884,0.87,1412175000,,,,116.4,10.25740619
Colombia,8.414866811,12.2,South America,1.99,1357.721764,1.23,51874024,,,,106.5,8.414866811
Costa Rica,5.473947392,7.6,South America,4.41,2324.029484,1.84,5180829,,,,85,5.473947392
Croatia,31.2493945,4,Europe,2.15,3806.765283,2.92,3854000,,,,172.1,31.2493945
Cuba,8.846306259,4,North America,1.76,372.9109067,0.05,11212191,,,,109,8.846306259
Cyprus,22.10933682,1.9,Europe,2.86,3261.639661,7.11,1251488,,,,154.8,22.10933682
Czech Republic,31.12464658,2.7,Europe,2.27,4752.379738,3,10526073,,,,171.9,31.12464658
Denmark,61.06873298,3.6,Europe,4.75,5588.772644,16.3,5903037,,,,205.6,61.06873298
Ecuador,11.54208592,12.2,South America,2.39,1225.361472,2.46,18001000,,,,122.3,11.54208592
Egypt,5.584528464,18.1,Asia,0.95,594.2807207,1.3,110990103,,,,86,5.584528464
Estonia,39.25190586,2.1,Europe,1.84,4164.207802,3.14,1344768,,,,183.5,39.25190586
Finland,54.48906286,1.4,Europe,3.85,5723.62752,9,5556880,,,,199.9,54.48906286
France,24.43459608,3.4,Europe,2.87,6288.022334,11.16,67935660,,,,159.8,24.43459608
Georgia,11.15625135,8.7,Europe,0.93,1476.823438,0.05,3712502,,,,120.6,11.15625135
Germany,40.44730436,3.1,Europe,3.07,6165.80734,9.99,84079811,,,,185,40.44730436
Greece,13.8737699,3.6,Europe,2.03,2864.18558,4.46,10566531,,,,131.5,13.8737699
Hong Kong,14.73167592,9,Asia,3.57,26979.28403,4.44,7346100,,,,134.5,14.73167592
Hungary,16.3462743,3.6,Europe,2.13,3011.955332,2.62,9683505,,,,139.7,16.3462743
India,11.89359476,29.9,Asia,0.74,1738.892299,0.3,1417173173,,,,123.8,11.89359476
Indonesia,7.185032192,21.1,Asia,1.74,1312.298721,0.48,275501339,,,,98.6,7.185032192
Iran,4.992815604,12.4,Asia,0.78,1336.419584,1.58,88550570,,,,80.4,4.992815604
Iraq,3.596639726,20,Asia,1.25,1108.479389,1.24,44496122,,,,64,3.596639726
Republic of Ireland,25.17874031,3.1,Europe,2.85,4729.339206,10.79,5086988,,,,161.3,25.17874031
Israel,23.38278341,3,Asia,3.59,7834.870917,7.58,9550600,,,,157.6,23.38278341
Italy,18.3935489,2.6,Europe,3.19,4017.046964,10,58856847,,,,145.6,18.3935489
Japan,39.48812524,1.8,Asia,2.26,6562.701613,6.77,125124989,,,,183.8,39.48812524
Jordan,11.17858618,13.9,Asia,0.75,1043.089849,1.49,11285869,,,,120.7,11.17858618
Kazakhstan,7.690609199,8.8,Asia,0.7,1370.273256,0.41,19621972,,,,102,7.690609199
Kenya,8.398053896,30.6,Africa,0.78,1296.55534,0.25,54027487,,,,106.4,8.398053896
Kuwait,21.11534442,6.7,Asia,1.53,5334.796451,0.95,4268873,,,,152.5,21.11534442
Latvia,24.23989913,3.3,Europe,2.17,2606.830894,2.8,1883379,,,,159.4,24.23989913
Libya,7.690609199,5.5,Africa,0.47,732.779262,1.88,6812341,,,,102,7.690609199
Lithuania,30.32583532,3.3,Europe,2.49,4128.596137,2.41,2833000,,,,170.6,30.32583532
Luxembourg,80.31850157,1.9,Europe,4.42,11081.55289,13.05,640064,,,,219.3,80.31850157
Malaysia,14.43996919,6.7,Asia,1.36,2049.124317,0.93,33938221,,,,133.5,14.43996919
Malta,7.84596981,6.1,Europe,1.85,3939.832702,5.07,523417,,,,103,7.84596981
Mauritius,4.572225195,9.1,Africa,1.02,1155.572036,0.38,1262523,,,,76,4.572225195
Mexico,12.57863827,11,South America,3.62,1776.291423,0.49,127504125,,,,126.6,12.57863827
Moldova,5.697343423,9,Europe,0.79,1714.486621,0.31,2592477,,,,87,5.697343423
Montenegro,9.025013499,4.5,Europe,1.39,2534.281701,1.23,616159,,,,110,9.025013499
Morocco,9.374563399,19.2,Africa,0.69,1408.733069,1.6,37457971,,,,111.9,9.374563399
Nepal,5.812437394,24,Asia,0.75,1805.44074,0.36,30547580,,,,88,5.812437394
Netherlands,63.4340003,3.3,Europe,2.79,6127.29842,10.29,17703090,,,,207.5,63.4340003
New Zealand,39.9648373,4.7,Oceania,2.92,5696.295125,11.49,5124100,,,,184.4,39.9648373
Nigeria,2.349024181,75.7,Africa,1.99,977.317283,0.54,218541212,,,,42.7,2.349024181
North Macedonia,10.03420744,8,Europe,1.05,1796.798085,1.92,2057679,,,,115.3,10.03420744
Norway,43.81604174,2.1,Europe,4.65,6447.282888,10,5457127,,,,189,43.81604174
Oman,59.50140942,9.8,Asia,1.69,1519.604579,4.33,4576298,,,,204.3,59.50140942
Pakistan,8.084915164,57.2,Asia,0.86,586.1684108,0.69,235824862,,,,104.5,8.084915164
Panama,11.17858618,13.1,South America,3.47,2200.292204,1.53,4408581,,,,120.7,11.17858618
Peru,5.430330513,11.1,South America,3.12,1722.215904,1.28,34049588,,,,84.6,5.430330513
Philippines,6.147220325,22.5,Asia,1.83,2297.728314,1.12,115559009,,,,90.8,6.147220325
Poland,19.80629864,3.8,Europe,1.82,3769.53312,2.93,37561599,,,,149.3,19.80629864
Portugal,28.50273364,3.1,Europe,2.17,3746.247058,3.78,10379007,,,,167.5,28.50273364
Qatar,38.78369786,5.8,Asia,2.3,4818.093377,3.08,2695122,,,,182.9,38.78369786
Romania,15.61137788,6.1,Europe,1.74,2150.145164,2.25,18956666,,,,137.4,15.61137788
Russia,9.244233946,6.1,Europe,0.74,1872.814161,0.53,143555736,,,,111.2,9.244233946
Saudi Arabia,30.26524426,6,Asia,1.52,1686.663165,3.85,36408820,,,,170.5,30.26524426
Serbia,11.06735739,4.8,Europe,1.15,3161.610755,1.57,6760087,,,,120.2,11.06735739
Singapore,25.68738461,2.3,Asia,3.08,21149.61703,10,5637022,,,,162.3,25.68738461
Slovakia,21.93316774,4.6,Europe,2.32,4048.926575,3.11,5431752,,,,154.4,21.93316774
Slovenia,34.95284964,1.7,Europe,2.75,4680.026968,5.25,2108732,,,,177.7,34.95284964
South Africa,18.95371586,28.5,Africa,1.47,1021.856418,3.32,59893885,,,,147.1,18.95371586
South Korea,19.88568249,2.7,Asia,4.55,11755.1889,6.49,51628117,,,,149.5,19.88568249
Spain,37.18851585,2.5,Europe,2.08,3915.662732,5.6,47615034,,,,180.8,37.18851585
Sri Lanka,4.499651728,6.4,Asia,0.9,1987.44719,0.35,22181000,,,,75.2,4.499651728
Sweden,41.84615847,2.2,Europe,4,5229.306958,10,10486941,,,,186.7,41.84615847
Switzerland,59.14546985,3.7,Europe,5.58,16716.31821,23.43,8769741,,,,204,59.14546985
Taiwan,23.80748436,10,Asia,2.79,8398.489858,4.02,23593794,,,,158.5,23.80748436
Thailand,7.156349467,7.8,Asia,2.07,3934.715857,1.06,71697030,,,,98.4,7.156349467
Turkey,13.14445504,9.1,Asia,1.5,1905.813389,3.45,85341241,,,,128.8,13.14445504
Ukraine,9.152252282,7.5,Europe,0.88,1389.493342,0.84,38000000,,,,110.7,9.152252282
United Arab Emirates,34.81331749,6.5,Asia,2.04,5356.687902,0.38,9441129,,,,177.5,34.81331749
United Kingdom,30.32583532,3.6,Europe,2.36,6426.216418,10.13,66971411,,,,170.6,30.32583532
United States,40.52827992,5.6,North America,5.26,3383.461807,7.25,331893745,,,,185.1,40.52827992
Uruguay,17.35707145,6.4,South America,3.84,2604.463986,1.66,3422794,,,,142.7,17.35707145
Venezuela,4.854955811,21.4,South America,2.59,583.4577599,0.01,28301696,,,,79,4.854955811
Vietnam,6.986641719,16.5,Europe,1.48,2770.972585,0.73,98186856,,,,97.2,6.986641719
